date vaccinations
28/06/2022	20365
29/06/2022	21892
30/06/2022	21340
01/07/2022	19577
02/07/2022	14403
03/07/2022	3023
04/07/2022	928
05/07/2022	15959
06/07/2022	17311
07/07/2022	16286
08/07/2022	17086
09/07/2022	17572
12/07/2022	15930
13/07/2022	17247
14/07/2022	16957
15/07/2022	15288
16/07/2022	13591
20/07/2022	16188
21/07/2022	16639
22/07/2022	18002
23/07/2022	14772
27/07/2022	17469
28/07/2022	16689
29/07/2022	16390
30/07/2022	13841
03/08/2022	14368
04/08/2022	15056
05/08/2022	14349
06/08/2022	11371
10/08/2022	1187
11/08/2022	13326
12/08/2022	14373
13/08/2022	11506
14/08/2022	1373
15/08/2022	830
16/08/2022	12451
17/08/2022	12624
18/08/2022	12962
19/08/2022	13059
20/08/2022	9888
21/08/2022	1264
22/08/2022	582
23/08/2022	11742
24/08/2022	12305
25/08/2022	8531
26/08/2022	11437
27/08/2022	8858
28/08/2022	1583
29/08/2022	617
30/08/2022	9825
31/08/2022	9751
01/09/2022	10160
02/09/2022	10153
03/09/2022	8652
04/09/2022	2037
05/09/2022	617
06/09/2022	8480
07/09/2022	9563
08/09/2022	9110
09/09/2022	9574
10/09/2022	9364
11/09/2022	1263
12/09/2022	427
13/09/2022	8375
14/09/2022	9343
15/09/2022	9279
16/09/2022	9187
19/09/2022	339
20/09/2022	6693
21/09/2022	7191
22/09/2022	6292
23/09/2022	6577
24/09/2022	5121
25/09/2022	555
26/09/2022	362
27/09/2022	6589
28/09/2022	7235
29/09/2022	7630
30/09/2022	7051
05/10/2022	5991
06/10/2022	7003
07/10/2022	6544
08/10/2022	5604
09/10/2022	647
10/10/2022	200
11/10/2022	6427
12/10/2022	7032
15/10/2022	7021
16/10/2022	789
17/10/2022	292
18/10/2022	7455
19/10/2022	8059
20/10/2022	9072
21/10/2022	8798
24/10/2022	457
25/10/2022	7662
26/10/2022	8794
27/10/2022	7633
28/10/2022	6782
29/10/2022	5840
30/10/2022	711
02/11/2022	6622
03/11/2022	8231
04/11/2022	8160
05/11/2022	6674
06/11/2022	751
07/11/2022	178
08/11/2022	6705
