Text,Metric
Sustainability,Complex Word
Environment,Complex Word
export-led,Complex Word
recovery,Complex Word
Singapore,Complex Word
opportunity,Complex Word
reliable,Complex Word
long-standing,Complex Word
areas,Complex Word
interest,Complex Word
including,Complex Word
currently,Complex Word
locations,Complex Word
Minister,Complex Word
government,Complex Word
restrictions,Complex Word
requirements,Complex Word
undertake,Complex Word
Minister,Complex Word
travelling,Complex Word
delegation,Complex Word
vaccinated,Complex Word
relationships,Complex Word
international,Complex Word
cooperation,Complex Word
interconnected,Complex Word
collective,Complex Word
positive,Complex Word
stabilising,Complex Word
Damien,Complex Word
