Date	Vaccinations
14/10/2021	920367
15/10/2021	1065262
16/10/2021	495788
17/10/2021	271486
18/10/2021	839395
19/10/2021	831451
20/10/2021	846753
21/10/2021	870069
22/10/2021	1390155
23/10/2021	833391
24/10/2021	475619
25/10/2021	1538172
26/10/2021	1576688
27/10/2021	1635798
28/10/2021	1623756
29/10/2021	1804326
30/10/2021	825374
31/10/2021	441216
01/11/2021	1506291
02/11/2021	1517814
03/11/2021	1586053
04/11/2021	1659723
05/11/2021	1939274
06/11/2021	1051216
07/11/2021	563911
08/11/2021	1483838
09/11/2021	1658855
10/11/2021	1796812
11/11/2021	1618051
12/11/2021	2012809
13/11/2021	1188490
14/11/2021	585003
15/11/2021	1571731
16/11/2021	1702654
17/11/2021	1781891
18/11/2021	1809855
19/11/2021	2101285
20/11/2021	1247721
21/11/2021	654072
22/11/2021	1837469
23/11/2021	1809705
24/11/2021	1403775
25/11/2021	29593
26/11/2021	1221525
27/11/2021	903759
28/11/2021	598420
29/11/2021	1684911
30/11/2021	1952368
01/12/2021	2209329
02/12/2021	2197481
03/12/2021	2479472
04/12/2021	1501892
05/12/2021	739364
06/12/2021	1855098
07/12/2021	1933649
08/12/2021	1949433
09/12/2021	1948310
10/12/2021	2141463
11/12/2021	1270748
12/12/2021	638748
13/12/2021	1634851
14/12/2021	1741286
15/12/2021	1742281
16/12/2021	1709612
17/12/2021	1961025
18/12/2021	1131526
19/12/2021	646705
20/12/2021	1860588
21/12/2021	1993044
22/12/2021	1884392
23/12/2021	1477060
24/12/2021	383840
25/12/2021	7017
26/12/2021	483412
27/12/2021	1540779
28/12/2021	1710039
29/12/2021	1692545
30/12/2021	1550287
31/12/2021	620908
01/01/2022	120312
02/01/2022	500641
03/01/2022	1252631
04/01/2022	1423448
05/01/2022	1461822
06/01/2022	1474184
07/01/2022	1662175
08/01/2022	1055313
09/01/2022	501167
10/01/2022	1268624
11/01/2022	1316523
12/01/2022	1322564
13/01/2022	1302017
14/01/2022	1480803
15/01/2022	795175
16/01/2022	393740
17/01/2022	831048
18/01/2022	1008085
19/01/2022	988768
20/01/2022	945432
21/01/2022	1093023
22/01/2022	626291
23/01/2022	333884
24/01/2022	803668
25/01/2022	810605
26/01/2022	799954
27/01/2022	797713
28/01/2022	964579
29/01/2022	473900
30/01/2022	266955
31/01/2022	636769
01/02/2022	623821
02/02/2022	579084
03/02/2022	526655
04/02/2022	663351
05/02/2022	442969
06/02/2022	215527
07/02/2022	489174
08/02/2022	507548
09/02/2022	517461
10/02/2022	515460
11/02/2022	629700
12/02/2022	349079
13/02/2022	154331
14/02/2022	346184
15/02/2022	407091
16/02/2022	419606
17/02/2022	412983
18/02/2022	532286
19/02/2022	285072
20/02/2022	155903
21/02/2022	320316
22/02/2022	357631
23/02/2022	347723
24/02/2022	333648
25/02/2022	398932
26/02/2022	245547
27/02/2022	124434
28/02/2022	320220
01/03/2022	285236
02/03/2022	262021
03/03/2022	258059
04/03/2022	324009
05/03/2022	184109
06/03/2022	90043
07/03/2022	214483
08/03/2022	217756
09/03/2022	216665
10/03/2022	216748
11/03/2022	263258
12/03/2022	143613
13/03/2022	74989
14/03/2022	198367
15/03/2022	208108
16/03/2022	211480
17/03/2022	201276
18/03/2022	256557
19/03/2022	146728
20/03/2022	77008
21/03/2022	192133
22/03/2022	185821
23/03/2022	195878
24/03/2022	191469
25/03/2022	235096
26/03/2022	125179
27/03/2022	65215
28/03/2022	175057
29/03/2022	199781
30/03/2022	405231
31/03/2022	559568
01/04/2022	667267
02/04/2022	347919
03/04/2022	211137
04/04/2022	564170
05/04/2022	559520
06/04/2022	581975
07/04/2022	587944
08/04/2022	679572
09/04/2022	340875
10/04/2022	198058
11/04/2022	584896
12/04/2022	620155
13/04/2022	587685
14/04/2022	594394
15/04/2022	573059
16/04/2022	262009
17/04/2022	60684
18/04/2022	519854
19/04/2022	547765
20/04/2022	541443
21/04/2022	510325
22/04/2022	501416
23/04/2022	262736
24/04/2022	135526
25/04/2022	431573
26/04/2022	460738
27/04/2022	479988
28/04/2022	484070
29/04/2022	516129
30/04/2022	244256
01/05/2022	136347
02/05/2022	396110
03/05/2022	424286
04/05/2022	421574
05/05/2022	415069
06/05/2022	458222
07/05/2022	208206
08/05/2022	91910
09/05/2022	393273
10/05/2022	425935
11/05/2022	427647
12/05/2022	437691
13/05/2022	476717
14/05/2022	240789
15/05/2022	132443
16/05/2022	390358
17/05/2022	414074
18/05/2022	424157
19/05/2022	444693
20/05/2022	516439
21/05/2022	271910
22/05/2022	155326
23/05/2022	440849
24/05/2022	431685
25/05/2022	419460
26/05/2022	406415
27/05/2022	450392
28/05/2022	202682
29/05/2022	113393
30/05/2022	32285
31/05/2022	379452
01/06/2022	376460
02/06/2022	363450
03/06/2022	404716
04/06/2022	193318
05/06/2022	107739
06/06/2022	321661
07/06/2022	320757
08/06/2022	324638
09/06/2022	315129
10/06/2022	349462
11/06/2022	163544
12/06/2022	87379
13/06/2022	271032
14/06/2022	280109
15/06/2022	285095
16/06/2022	283141
17/06/2022	300907
18/06/2022	132160
19/06/2022	62821
20/06/2022	236286
21/06/2022	270935
22/06/2022	287337
23/06/2022	287438
24/06/2022	311229
25/06/2022	163799
26/06/2022	79549
27/06/2022	254774
28/06/2022	268452
29/06/2022	274333
30/06/2022	283100
01/07/2022	281197
02/07/2022	114859
03/07/2022	59206
04/07/2022	13189
05/07/2022	253077
06/07/2022	267482
07/07/2022	274501
08/07/2022	308491
09/07/2022	147757
10/07/2022	78685
11/07/2022	271223
12/07/2022	303188
13/07/2022	348023
14/07/2022	368339
15/07/2022	417058
16/07/2022	214034
17/07/2022	116268
18/07/2022	361636
19/07/2022	361493
20/07/2022	346130
21/07/2022	366165
22/07/2022	415335
23/07/2022	202590
24/07/2022	99859
25/07/2022	312003
26/07/2022	322554
27/07/2022	310381
28/07/2022	308462
29/07/2022	324200
30/07/2022	140767
31/07/2022	69427
01/08/2022	244054
02/08/2022	259088
03/08/2022	253674
04/08/2022	249672
05/08/2022	267691
06/08/2022	124479
07/08/2022	63918
08/08/2022	220894
09/08/2022	228768
10/08/2022	215055
11/08/2022	218227
12/08/2022	240004
13/08/2022	107195
14/08/2022	52877
15/08/2022	197625
16/08/2022	204834
17/08/2022	202283
18/08/2022	194850
19/08/2022	213278
20/08/2022	87874
21/08/2022	43716
22/08/2022	166929
23/08/2022	176526
24/08/2022	174687
25/08/2022	171199
26/08/2022	180405
27/08/2022	78281
28/08/2022	38382
29/08/2022	141466
30/08/2022	148545
31/08/2022	134574
01/09/2022	98820
02/09/2022	90504
03/09/2022	56379
04/09/2022	42999
05/09/2022	13378
06/09/2022	178033
07/09/2022	401355
08/09/2022	432377
09/09/2022	566315
10/09/2022	319397
11/09/2022	203014
12/09/2022	552786
13/09/2022	535677
14/09/2022	576722
15/09/2022	584272
16/09/2022	705764
17/09/2022	340210
18/09/2022	194963
19/09/2022	618320
20/09/2022	630469
21/09/2022	688130
22/09/2022	682616
23/09/2022	815182
24/09/2022	380998
25/09/2022	216859
26/09/2022	715738
27/09/2022	710730
28/09/2022	734370
29/09/2022	719209
30/09/2022	828035
01/10/2022	379399
02/10/2022	209289
03/10/2022	720944
04/10/2022	727709
05/10/2022	797679
06/10/2022	777999
07/10/2022	877814
08/10/2022	410115
09/10/2022	222397
10/10/2022	741564
11/10/2022	763542
12/10/2022	824063
13/10/2022	785001
14/10/2022	891898
15/10/2022	387507
16/10/2022	213187
17/10/2022	763940
18/10/2022	762575
19/10/2022	798688
20/10/2022	770493
21/10/2022	857460
22/10/2022	385028
23/10/2022	209544
24/10/2022	747316
25/10/2022	768556
26/10/2022	844834
27/10/2022	789043
28/10/2022	860676
29/10/2022	371805
30/10/2022	193902
31/10/2022	608416
01/11/2022	640148
02/11/2022	656703
03/11/2022	641737
04/11/2022	756729
05/11/2022	343240
06/11/2022	180259
07/11/2022	584476
08/11/2022	564752
09/11/2022	556135
10/11/2022	558061
11/11/2022	601188
12/11/2022	282595
13/11/2022	158884
14/11/2022	516543
15/11/2022	523884
16/11/2022	527964
17/11/2022	512090
18/11/2022	568075
19/11/2022	266986
20/11/2022	144989
21/11/2022	455415
22/11/2022	423822
23/11/2022	358895
24/11/2022	5908
25/11/2022	247410
26/11/2022	191537
27/11/2022	118916
28/11/2022	335489
29/11/2022	348552
30/11/2022	433580
01/12/2022	387984
02/12/2022	438841
03/12/2022	204104
04/12/2022	114738
05/12/2022	350850
06/12/2022	365612
07/12/2022	376109
08/12/2022	379239
09/12/2022	426504
10/12/2022	215843
11/12/2022	124080
12/12/2022	366639
13/12/2022	368284
14/12/2022	349758
15/12/2022	324009
16/12/2022	380625
17/12/2022	197222
18/12/2022	113955
19/12/2022	337636
20/12/2022	317453
21/12/2022	288962
22/12/2022	229178
23/12/2022	153574
24/12/2022	38972
25/12/2022	2556
26/12/2022	110217
27/12/2022	266544
28/12/2022	261645
29/12/2022	264355
30/12/2022	243635
31/12/2022	63664
01/01/2023	9990
02/01/2023	123959
03/01/2023	228533
04/01/2023	217330
05/01/2023	227803
06/01/2023	272773
07/01/2023	134303
08/01/2023	68870
09/01/2023	206269
10/01/2023	203017
11/01/2023	200453
12/01/2023	197394
13/01/2023	221452
14/01/2023	103531
15/01/2023	47591
16/01/2023	113064
17/01/2023	150967
18/01/2023	147176
19/01/2023	141219
20/01/2023	157321
21/01/2023	64963
22/01/2023	30876
23/01/2023	119571
24/01/2023	122922
25/01/2023	114995
26/01/2023	120530
27/01/2023	130959
28/01/2023	52513
29/01/2023	27096
30/01/2023	101040
31/01/2023	102498
01/02/2023	99647
02/02/2023	99377
03/02/2023	111727
04/02/2023	46488
05/02/2023	25048
06/02/2023	94090
07/02/2023	95211
08/02/2023	93328
09/02/2023	91407
10/02/2023	99984
11/02/2023	42413
12/02/2023	18755
13/02/2023	79338
14/02/2023	74100
15/02/2023	82901
16/02/2023	79028
17/02/2023	88440
18/02/2023	34090
19/02/2023	17733
20/02/2023	62337
21/02/2023	76008
22/02/2023	71942
23/02/2023	70699
24/02/2023	79033
25/02/2023	31860
26/02/2023	16581
27/02/2023	71968
28/02/2023	72009
01/03/2023	71437
02/03/2023	70242
03/03/2023	78167
04/03/2023	31710
05/03/2023	16682
06/03/2023	66726
07/03/2023	67772
08/03/2023	66464
09/03/2023	65648
10/03/2023	72024
11/03/2023	29873
12/03/2023	15653
13/03/2023	61452
14/03/2023	60216
15/03/2023	63872
16/03/2023	61505
17/03/2023	66662
18/03/2023	27070
19/03/2023	14316
20/03/2023	60222
21/03/2023	59759
22/03/2023	59205
23/03/2023	58319
24/03/2023	65076
25/03/2023	25501
26/03/2023	14363
27/03/2023	56004
